cust_id,revenue_2018_2019
klantwj2374mzmab,209.85
a63atwr2ig2jfprr,82.93
zr7ihbfbi6gcy2tz,89.95
dt7cthjqnjmkbiu6,0.0
3mytihagykiecpfl,220.0
t5e5vpa7mh776udm,409.94
w265b4ug6vqvef7v,549.26
mhj6hmzn5nrxliwo,141.9
pxhgex4ox635ui6t,0.0
6yh4kfwvxvi5zapw,53.97
36fpv5kzdmowzpxg,173.85
obla2bsmnxanoxjv,45.47
fsjx3dwrc4f4qsoj,151.0
jn2lyzmd4j6a3wky,180.76
rr3pkuxth4ofderp,0.0
ymrptslidlckoj3c,0.0
6yxp74fo36x76fil,0.0
uwshyltsz7j6xqc3,0.0
nza7mrfkerovotu4,0.0
byjooer6sr6mqbe4,115.9
7a2tkgdenrggfgh3,50.91
2alo6djp3hjtfxki,0.0
szef6ml4mysqopzi,184.65
mr6qtg2p7lhvhfqm,113.37
kesz45klq3whdmag,80.95
tvblpcmta2cyo3dm,0.0
sjpdnmvgg5h2u52x,80.95
4tu2vm4ialfdovvm,479.03
drnej5hlf3eee25q,29.97
di2kyt6ocll4qnwa,0.0
32iq3zgfscn35xz7,303.21
ue2kmkaxnpfkzoiu,59.97
53aexhnpyocpsnvn,0.0
t664jo7uib7xndp2,437.54
v3wvkrrlnqoxebhl,86.3
ah4nnw2jbvz2xx6b,0.0
hb43e7aj3gdk6kox,437.15
iyxj2i4wztaagdsc,0.0
o3ovtynrg3w23yaq,0.0
da7qivhh6ax7qoyp,49.9
37wbipiojuxazyz6,0.0
32ikhvpgzp4rnfgd,932.95
mvggb5ycp2jfuohg,88.63
gxdcnbfihhp7tv7m,0.0
4e2t6v7xmayyoupm,0.0
c76qchs2r23v6trr,0.0
g4hqsmo3y633xl52,62.96
b5npwp5yrxfqqajn,0.0
iygcmw7imj2tebwy,80.0
5fhhkqhest4zwxro,0.0
btt3qbio2nd7mi6m,0.0
4zbyvgfok6ek5ivh,0.0
y65k3eia53wqarom,89.95
z4sqbekgvnouddir,0.0
idxc5gdu6nkawq2k,0.0
lfg3phipvpapzzco,0.0
avrpv7jgui36aekg,308.25
jl2mbfix243j7k5b,0.0
yigrpj6m2nwgjkql,0.0
75ccaqk5fngndijy,0.0
y4qebhppzkgch72u,0.0
gwmreicvaonvrbfw,0.0
oz2jzrdwdj6gq4i2,0.0
klamgqwdxogf3uzd,147.67
a6cjnakmgbyfbjn5,0.0
hth5nb2l6kdajlpv,0.0
xntjwwde6pxin2jf,91.0
xjbw4fyubcuenwym,0.0
gkgjxmje3hpsxm44,0.0
2ofxrmn6b6xp73pc,120.21
g4rcmejimafukcuy,163.4
lv67756k7adf6mhg,77.35
to4knehzgzgh5hbj,35.0
drfh2oherb7najov,0.0
xsvx5fjtxi7vdvoc,0.0
uemi2yg5kpqxu4w7,390.97
7lxj7g4dhrs4yxbm,209.0
ltfjrublfhmzrtqm,0.0
ipvkcelkopwf6bst,65.99
nefikmrr6oyzw23c,164.83
zggu374betyuwkqb,59.95
tg7oahionjxnn4jh,0.0
qbgqve235mfrgxe4,0.0
qupffbo5k5wl3tdp,331.27
fr74nvkht3ifnbna,55.95
hneumj2zkko3i6pa,44.95
batwxw73q7cv2awa,0.0
7q2jjt6el6pxjeyf,232.84
cjsz2omd6dy2acsm,0.0
yrhhgoikcgm23uem,0.0
fwanxavj57lv3dmm,49.95
fg5hwk7lmccsk6tf,0.0
5itx52nl4fj62jjb,0.0
yzxp3e2urusl6iro,0.0
pv7il4mr22npzcbp,0.0
73bq3mxmmq6lgkga,0.0
d7gjrve743qsyklc,0.0
ym7xf6zvlaxjecgr,0.0
aglvcm26duhtxac7,0.0
yqlnytkwyfxo625f,85.95
mopvatn5raovpkrs,0.0
cspvl2kcn5zoyywy,613.01
nhw7mlt5asg2dxi2,255.85
6wkol4xmhbjwyqpk,80.91
zsch7wkpbwgtjktd,151.93
a4aakmrttahfuigr,214.13
yzxznmf4ucffbnw7,511.31
f3ja4nop43c276u7,447.23
g2mcgeuywekbb2es,181.97
e26al2makvcrc34b,62.96
jpzisdf6lrzkfnkn,0.0
lea5xcldc27ccnzj,0.0
urxnkm5w6vwsmw6m,0.0
g5m5kaaeeiirftxq,0.0
n7ix34atyrajylmg,23.97
kraqngkqlqch64e4,0.0
yxpsifpgz3fnx5uc,0.0
kphvx753iaohbga3,0.0
miikd7lywee4fumd,126.29
wklar56xxgwfamta,0.0
detbyvo6tdye4pik,593.05
4be6ugsbqbznrvso,0.0
chvsq5jgmavefloj,0.0
a3dvutzolpxa66eb,127.96
dn7ey3k3cpjkm34i,265.03
uzqfquprx57flgkk,217.46
ad5hew66ipzvfykv,0.0
jeqq2d4jblhvp73r,283.15
7b2tgondrp7rmspt,0.0
afskqtlntrplv3z4,0.0
itx4h5c6zkcfc2nn,151.84
4sp6ctapuzsextry,64.46
foqldaanz2l7yzew,203.98
nmgbzpy4g2mzi5gw,153.0
vqr2pvmbnw23c7ob,53.9
cyq7n6mevsugd7kv,781.71
tflyqlql6y6x4sun,22.46
gg2kkgg375gk2fh6,0.0
3nvie65uc2fwdptz,89.95
cbiqushqbcwaczfq,374.02
mivwqxqg2bzi2uct,0.0
l5q7xviq6fn2pxsc,0.0
3o7q2c6epmets33b,174.97
cjxcwtncwc54s6nj,123.16
rjlauo5firwev2y5,93.9
e3dtfnxitybxcqew,185.95
ybcwmlsas6we3jsw,184.45
cunxvi2f5p3tmkkh,140.0
bnoizmnlvf3ojkhf,0.0
wejua5phlpae47wh,249.83
jjcsicr5hrdsh3wd,0.0
3jeukesph7czeeb2,0.0
dund63na5h36e43m,89.95
bn56ena4qfvbjg6p,264.21
2fxm7jp3tzqp3pyu,272.17
tjwnpnd3eirsrwbq,469.9
vcxwynsb2ofdinga,0.0
pfw3tsdwgbwtd723,25.17
zidvnhstz4t357mo,0.0
b7ouwrulvtw2jb5x,0.0
7ioegzqnhndqjwdf,69.0
pcwspb4yky2ob22m,0.0
s47uprlfeh3odp5x,340.22
r7mprujhprefu7ly,978.92
i4cfamelxfafcqpo,0.0
qn2msqgpkf6vpyy4,113.76
3vsiu7ut56bzi5zt,398.31
usrlwlsbef42dvww,0.0
fctx45mcwley3mnn,167.14
ofxwmw25uhov6oxj,24.0
4pinedv6rt37vp45,113.94
4wwelw2bgpyc5ptu,376.94
hqckofr6llnuf5xj,0.0
lzpkmf547zgnk5m3,482.49
chbcto7llc2w5ya7,120.94
xxhebc7tnxhnrxgz,173.97
qivfw45qeythardy,83.98
hliupo4yz6btskvl,34.98
v2faqa4ee5b2xebi,355.58
